Date,Group,Mês de mes,ajuste,churns,Net Customers,downsell_freemium,first_payments,new_phoenix,old_phoenix,Merchant Base,Churn + Downgrade,,,Source,https://tableau.linkedstore.com/#/views/DevActiveBase-NetCustomers/Customers_Raw?:iid=2
01/01/2023,AR,janeiro de 2023,-40,3.074,-400,0,1.444,918,352,44.431,3.074,,,,
01/02/2023,AR,fevereiro de 2023,-10,2.522,199,0,1.505,870,356,44.648,2.522,,,,
01/03/2023,AR,março de 2023,29,3.036,150,0,1.808,927,422,44.801,3.036,,,,
01/04/2023,AR,abril de 2023,22,2.813,8,3,1.684,723,395,44.816,2.816,,,,
01/05/2023,AR,maio de 2023,9,3.178,445,15,2.395,816,418,45.268,3.193,,,,
01/06/2023,AR,junho de 2023,-131,3.436,-369,44,1.879,1.006,357,44.902,3.480,,,,
01/07/2023,AR,julho de 2023,42,3.543,-611,93,1.636,996,351,44.289,3.636,,,,
01/08/2023,AR,agosto de 2023,56,3.033,-251,170,1.641,900,355,44.046,3.203,,,,
01/09/2023,AR,setembro de 2023,67,3.037,-350,143,1.621,868,274,43.709,3.180,,,,
01/10/2023,AR,outubro de 2023,-85,2.825,-524,168,1.436,819,299,43.182,2.993,,,,
01/11/2023,AR,novembro de 2023,182,2.693,166,150,1.628,870,329,43.352,2.843,,,,
01/12/2023,AR,dezembro de 2023,85,2.806,-652,199,1.299,752,217,42.701,3.005,,,,
01/01/2024,AR,janeiro de 2024,45,3.087,-496,248,1.444,1.021,329,42.210,3.335,,,,
01/02/2024,AR,fevereiro de 2024,87,2.599,383,210,1.697,999,409,42.601,2.809,,,,
01/03/2024,AR,março de 2024,188,2.992,646,227,2.130,1.095,452,43.253,3.219,,,,
01/04/2024,AR,abril de 2024,72,3.145,789,261,2.497,1.193,433,44.058,3.406,,,,
01/05/2024,AR,maio de 2024,170,2.989,1.127,328,2.661,1.155,458,45.191,3.317,,,,
01/06/2024,AR,junho de 2024,226,2.986,423,317,2.191,1.004,305,45.621,3.303,,,,
01/07/2024,AR,julho de 2024,67,3.078,645,431,2.578,1.113,396,46.269,3.509,,,,
01/08/2024,AR,agosto de 2024,224,2.813,1.577,384,3.140,1.030,380,47.849,3.197,,,,
01/09/2024,AR,setembro de 2024,-5,2.607,2.435,325,3.888,1.027,457,50.279,2.932,,,,
01/10/2024,AR,outubro de 2024,238,3.313,2.175,439,4.137,1.110,442,52.451,3.752,,,,
01/11/2024,AR,novembro de 2024,263,3.586,1.650,432,3.802,1.182,421,54.117,4.018,,,,
01/12/2024,AR,dezembro de 2024,178,4.604,50,462,3.461,1.143,334,54.161,5.066,,,,
01/01/2025,AR,janeiro de 2025,-31,4.732,577,542,3.787,1.641,454,54.750,5.274,,,,
01/02/2025,AR,fevereiro de 2025,298,3.712,2.340,420,4.178,1.471,525,57.085,4.132,,,,
01/03/2025,AR,março de 2025,256,4.655,1.931,565,4.684,1.629,582,59.018,5.220,,,,
01/04/2025,AR,abril de 2025,214,5.841,1.477,758,5.440,1.730,692,60.495,6.599,,,,
01/05/2025,AR,maio de 2025,171,6.018,1.097,717,4.983,1.984,694,61.593,6.735,,,,
01/06/2025,AR,junho de 2025,243,5.807,998,687,4.849,1.806,594,62.611,6.494,,,,
01/07/2025,AR,julho de 2025,108,6.018,790,890,5.050,1.984,556,63.401,6.908,,,,
01/08/2025,AR,agosto de 2025,219,6.159,587,818,4.836,1.934,575,63.986,6.977,,,,
01/09/2025,AR,setembro de 2025,240,6.247,299,694,4.305,2.052,643,64.275,6.941,,,,
01/10/2025,AR,outubro de 2025,188,6.550,-387,811,4.228,2.071,527,63.888,7.361,,,,
01/11/2025,AR,novembro de 2025,358,6.443,-274,894,3.928,2.197,580,63.596,7.337,,,,
01/01/2023,BR,janeiro de 2023,-354,7.199,2.146,439,6.806,2.348,984,60.375,7.638,,,,
01/02/2023,BR,fevereiro de 2023,53,6.569,1.634,467,6.095,1.718,804,62.037,7.036,,,,
01/03/2023,BR,março de 2023,-179,8.145,1.226,552,7.533,1.877,692,63.298,8.697,,,,
01/04/2023,BR,abril de 2023,81,8.443,752,628,7.385,1.793,564,64.056,9.071,,,,
01/05/2023,BR,maio de 2023,-389,7.885,751,788,7.242,1.944,627,64.826,8.673,,,,
01/06/2023,BR,junho de 2023,-37,8.366,1.674,655,7.963,2.090,679,66.508,9.021,,,,
01/07/2023,BR,julho de 2023,75,9.384,226,817,7.187,2.450,715,66.747,10.201,,,,
01/08/2023,BR,agosto de 2023,90,9.435,569,1.021,7.668,2.541,726,67.324,10.456,,,,
01/09/2023,BR,setembro de 2023,210,9.216,-142,1.063,6.994,2.288,645,67.185,10.279,,,,
01/10/2023,BR,outubro de 2023,-214,8.840,1.382,817,8.032,2.490,731,68.573,9.657,,,,
01/11/2023,BR,novembro de 2023,537,9.070,584,904,6.925,2.450,646,69.153,9.974,,,,
01/12/2023,BR,dezembro de 2023,329,9.464,-2.150,875,5.401,1.936,523,67.007,10.339,,,,
01/01/2024,BR,janeiro de 2024,-62,10.153,197,1.023,7.277,3.233,925,67.209,11.176,,,,
01/02/2024,BR,fevereiro de 2024,347,8.423,1.664,813,7.100,2.606,847,68.876,9.236,,,,
01/03/2024,BR,março de 2024,567,9.367,650,921,6.827,2.664,880,69.535,10.288,,,,
01/04/2024,BR,abril de 2024,103,9.119,1.026,948,7.413,2.664,913,70.566,10.067,,,,
01/05/2024,BR,maio de 2024,346,9.239,1.446,905,7.647,2.733,864,72.006,10.144,,,,
01/06/2024,BR,junho de 2024,509,8.862,2.376,751,8.205,2.491,784,74.372,9.613,,,,
01/07/2024,BR,julho de 2024,124,10.397,2.181,875,9.576,2.899,854,76.541,11.272,,,,
01/08/2024,BR,agosto de 2024,466,10.494,2.329,915,9.425,2.963,884,78.848,11.409,,,,
01/09/2024,BR,setembro de 2024,218,10.102,2.060,852,9.058,2.896,842,80.905,10.954,,,,
01/10/2024,BR,outubro de 2024,326,11.229,2.672,987,10.557,3.012,993,83.575,12.216,,,,
01/11/2024,BR,novembro de 2024,510,11.201,2.284,958,10.070,2.957,906,85.849,12.159,,,,
01/12/2024,BR,dezembro de 2024,233,11.856,-1.619,923,7.902,2.374,651,84.222,12.779,,,,
01/01/2025,BR,janeiro de 2025,-46,12.990,-410,1.075,8.684,4.006,1.011,83.801,14.065,,,,
01/02/2025,BR,fevereiro de 2025,552,10.308,3.183,919,9.983,2.979,896,86.969,11.227,,,,
01/03/2025,BR,março de 2025,336,11.889,508,1.065,8.942,3.251,933,87.469,12.954,,,,
01/04/2025,BR,abril de 2025,356,11.686,2.461,1.090,10.379,3.431,1.071,89.926,12.776,,,,
01/05/2025,BR,maio de 2025,403,13.363,1.604,1.126,10.878,3.700,1.112,91.525,14.489,,,,
01/06/2025,BR,junho de 2025,441,12.384,1.530,1.135,10.299,3.334,975,93.043,13.519,,,,
01/07/2025,BR,julho de 2025,230,12.334,2.420,1.080,10.803,3.734,1.067,95.463,13.414,,,,
01/08/2025,BR,agosto de 2025,283,12.929,1.769,1.168,10.943,3.608,1.032,97.197,14.097,,,,
01/09/2025,BR,setembro de 2025,303,13.026,511,1.137,9.679,3.599,1.093,97.690,14.163,,,,
01/10/2025,BR,outubro de 2025,184,13.969,1.583,940,11.519,3.656,1.133,99.273,14.909,,,,
01/11/2025,BR,novembro de 2025,451,12.626,1.917,890,10.225,3.713,1.044,101.170,13.516,,,,
01/01/2023,CL,janeiro de 2023,-4,17,5,0,17,6,3,210,17,,,,
01/02/2023,CL,fevereiro de 2023,2,24,7,0,20,8,1,217,24,,,,
01/03/2023,CL,março de 2023,1,19,8,0,22,4,0,225,19,,,,
01/04/2023,CL,abril de 2023,-3,23,11,0,25,11,1,236,23,,,,
01/05/2023,CL,maio de 2023,0,28,6,0,26,7,1,242,28,,,,
01/06/2023,CL,junho de 2023,2,29,18,0,33,11,1,260,29,,,,
01/07/2023,CL,julho de 2023,-1,28,8,0,31,5,1,270,28,,,,
01/08/2023,CL,agosto de 2023,2,28,29,0,39,11,5,299,28,,,,
01/09/2023,CL,setembro de 2023,-2,31,2,0,29,5,1,302,31,,,,
01/10/2023,CL,outubro de 2023,-3,42,7,0,41,9,2,310,42,,,,
01/11/2023,CL,novembro de 2023,1,31,24,0,46,5,3,334,31,,,,
01/12/2023,CL,dezembro de 2023,4,41,8,0,32,8,5,342,41,,,,
01/01/2024,CL,janeiro de 2024,-4,55,19,0,59,17,2,361,55,,,,
01/02/2024,CL,fevereiro de 2024,-2,48,23,0,62,9,2,384,48,,,,
01/03/2024,CL,março de 2024,0,59,33,0,69,20,3,417,59,,,,
01/04/2024,CL,abril de 2024,3,61,35,0,79,12,2,452,61,,,,
01/05/2024,CL,maio de 2024,-2,54,53,0,89,14,6,505,54,,,,
01/06/2024,CL,junho de 2024,7,78,28,0,79,16,4,534,78,,,,
01/07/2024,CL,julho de 2024,-6,75,80,0,128,23,10,615,75,,,,
01/08/2024,CL,agosto de 2024,-2,64,67,0,110,17,6,682,64,,,,
01/09/2024,CL,setembro de 2024,-4,79,71,0,132,17,5,753,79,,,,
01/10/2024,CL,outubro de 2024,0,96,57,0,126,23,4,809,96,,,,
01/11/2024,CL,novembro de 2024,5,95,47,0,107,23,7,856,95,,,,
01/12/2024,CL,dezembro de 2024,3,118,25,0,115,20,5,881,118,,,,
01/01/2025,CL,janeiro de 2025,-4,122,90,0,179,31,6,971,122,,,,
01/02/2025,CL,fevereiro de 2025,3,96,93,0,147,32,7,1.064,96,,,,
01/03/2025,CL,março de 2025,-2,118,122,0,207,25,10,1.186,118,,,,
01/04/2025,CL,abril de 2025,5,144,92,0,196,30,5,1.279,144,,,,
01/05/2025,CL,maio de 2025,1,186,138,0,271,39,13,1.417,186,,,,
01/06/2025,CL,junho de 2025,0,184,135,0,266,41,12,1.552,184,,,,
01/07/2025,CL,julho de 2025,2,206,107,0,254,47,10,1.659,206,,,,
01/08/2025,CL,agosto de 2025,2,219,150,0,319,41,7,1.809,219,,,,
01/09/2025,CL,setembro de 2025,-4,232,56,0,210,71,11,1.865,232,,,,
01/10/2025,CL,outubro de 2025,1,257,41,0,216,67,14,1.906,257,,,,
01/11/2025,CL,novembro de 2025,4,255,79,0,248,65,17,1.985,255,,,,
01/01/2023,CO,janeiro de 2023,-3,85,9,0,57,29,11,767,85,,,,
01/02/2023,CO,fevereiro de 2023,-3,59,57,0,80,29,10,823,59,,,,
01/03/2023,CO,março de 2023,2,76,57,0,85,32,14,880,76,,,,
01/04/2023,CO,abril de 2023,5,71,37,0,78,21,4,917,71,,,,
01/05/2023,CO,maio de 2023,-9,98,15,0,83,35,4,932,98,,,,
01/06/2023,CO,junho de 2023,1,92,57,0,107,30,11,989,92,,,,
01/07/2023,CO,julho de 2023,0,109,63,0,130,38,4,1.052,109,,,,
01/08/2023,CO,agosto de 2023,4,101,74,0,125,34,12,1.126,101,,,,
01/09/2023,CO,setembro de 2023,-2,142,41,0,131,43,11,1.167,142,,,,
01/10/2023,CO,outubro de 2023,-7,139,60,0,157,39,10,1.227,139,,,,
01/11/2023,CO,novembro de 2023,3,160,79,0,178,48,10,1.306,160,,,,
01/12/2023,CO,dezembro de 2023,16,168,-2,0,113,35,2,1.305,168,,,,
01/01/2024,CO,janeiro de 2024,-13,191,38,0,157,74,11,1.342,191,,,,
01/02/2024,CO,fevereiro de 2024,-2,137,165,0,240,50,14,1.507,137,,,,
01/03/2024,CO,março de 2024,3,200,89,0,218,50,18,1.596,200,,,,
01/04/2024,CO,abril de 2024,-7,206,188,0,310,77,14,1.784,206,,,,
01/05/2024,CO,maio de 2024,9,237,64,0,222,56,14,1.848,237,,,,
01/06/2024,CO,junho de 2024,-3,248,62,0,220,77,16,1.910,248,,,,
01/07/2024,CO,julho de 2024,-1,266,54,0,235,67,19,1.964,266,,,,
01/08/2024,CO,agosto de 2024,3,253,82,0,237,73,22,2.046,253,,,,
01/09/2024,CO,setembro de 2024,-8,229,82,0,227,69,23,2.127,229,,,,
01/10/2024,CO,outubro de 2024,7,283,138,0,300,86,28,2.265,283,,,,
01/11/2024,CO,novembro de 2024,6,262,114,0,248,89,33,2.378,262,,,,
01/12/2024,CO,dezembro de 2024,-4,289,35,0,243,68,17,2.413,289,,,,
01/01/2025,CO,janeiro de 2025,-12,319,70,0,271,106,24,2.483,319,,,,
01/02/2025,CO,fevereiro de 2025,11,305,92,0,270,83,33,2.575,305,,,,
01/03/2025,CO,março de 2025,3,319,225,0,416,98,27,2.801,319,,,,
01/04/2025,CO,abril de 2025,-1,294,189,0,370,92,22,2.990,294,,,,
01/05/2025,CO,maio de 2025,10,435,181,0,450,119,37,3.171,435,,,,
01/06/2025,CO,junho de 2025,2,404,237,0,498,113,28,3.407,404,,,,
01/07/2025,CO,julho de 2025,2,416,222,0,455,148,33,3.630,416,,,,
01/08/2025,CO,agosto de 2025,-1,428,131,0,388,134,38,3.761,428,,,,
01/09/2025,CO,setembro de 2025,4,482,108,0,408,144,34,3.867,482,,,,
01/10/2025,CO,outubro de 2025,0,483,98,0,380,167,34,3.965,483,,,,
01/11/2025,CO,novembro de 2025,7,457,72,0,348,146,28,4.038,457,,,,
01/01/2023,MX,janeiro de 2023,-15,348,180,0,418,99,26,3.230,348,,,,
01/02/2023,MX,fevereiro de 2023,10,318,186,0,385,85,24,3.418,318,,,,
01/03/2023,MX,março de 2023,12,360,80,0,337,77,14,3.497,360,,,,
01/04/2023,MX,abril de 2023,-11,371,121,2,385,94,26,3.621,373,,,,
01/05/2023,MX,maio de 2023,-13,374,90,1,372,87,19,3.709,375,,,,
01/06/2023,MX,junho de 2023,-19,387,116,6,399,104,25,3.827,393,,,,
01/07/2023,MX,julho de 2023,3,438,125,13,434,114,25,3.953,451,,,,
01/08/2023,MX,agosto de 2023,-3,452,105,29,456,100,33,4.059,481,,,,
01/09/2023,MX,setembro de 2023,-6,388,117,26,381,127,29,4.175,414,,,,
01/10/2023,MX,outubro de 2023,-27,432,84,29,414,128,30,4.262,461,,,,
01/11/2023,MX,novembro de 2023,14,459,94,31,407,127,36,4.355,490,,,,
01/12/2023,MX,dezembro de 2023,19,482,-97,28,282,90,22,4.261,510,,,,
01/01/2024,MX,janeiro de 2024,5,498,66,43,404,163,35,4.326,541,,,,
01/02/2024,MX,fevereiro de 2024,6,398,165,32,430,123,36,4.492,430,,,,
01/03/2024,MX,março de 2024,25,466,61,40,402,106,34,4.553,506,,,,
01/04/2024,MX,abril de 2024,4,476,147,54,486,156,31,4.699,530,,,,
01/05/2024,MX,maio de 2024,-6,455,144,43,497,118,33,4.844,498,,,,
01/06/2024,MX,junho de 2024,36,479,140,56,472,123,44,4.985,535,,,,
01/07/2024,MX,julho de 2024,7,527,135,46,506,155,40,5.121,573,,,,
01/08/2024,MX,agosto de 2024,15,500,166,36,489,156,42,5.287,536,,,,
01/09/2024,MX,setembro de 2024,-10,444,331,33,633,140,45,5.617,477,,,,
01/10/2024,MX,outubro de 2024,35,558,336,31,692,140,58,5.954,589,,,,
01/11/2024,MX,novembro de 2024,21,479,287,39,589,136,59,6.241,518,,,,
01/12/2024,MX,dezembro de 2024,13,578,-21,48,428,124,40,6.219,626,,,,
01/01/2025,MX,janeiro de 2025,31,571,205,47,544,182,66,6.424,618,,,,
01/02/2025,MX,fevereiro de 2025,28,505,253,30,563,143,54,6.674,535,,,,
01/03/2025,MX,março de 2025,13,559,384,48,754,171,53,7.062,607,,,,
01/04/2025,MX,abril de 2025,51,584,247,33,595,162,56,7.308,617,,,,
01/05/2025,MX,maio de 2025,-8,633,216,44,676,167,58,7.522,677,,,,
01/06/2025,MX,junho de 2025,26,570,261,52,638,160,59,7.784,622,,,,
01/07/2025,MX,julho de 2025,20,676,272,46,745,175,54,8.056,722,,,,
01/08/2025,MX,agosto de 2025,10,670,176,49,651,191,43,8.232,719,,,,
01/09/2025,MX,setembro de 2025,23,683,13,37,477,181,52,8.245,720,,,,
01/10/2025,MX,outubro de 2025,7,781,-18,52,564,188,56,8.227,833,,,,
01/11/2025,MX,novembro de 2025,30,693,60,60,513,217,53,8.286,753,,,,
01/12/2025,AR,dezembro de 2025,235,6.135,-74,812,4.177,2.040,421,63.517,6.947,,,,
01/12/2025,BR,dezembro de 2025,144,14.236,-1.398,1.203,9.916,3.186,795,99.780,15.439,,,,
01/12/2025,CL,dezembro de 2025,5,268,30,0,206,76,11,2.015,268,,,,
01/12/2025,CO,dezembro de 2025,-3,466,-21,0,288,135,25,4.017,466,,,,
01/12/2025,MX,dezembro de 2025,22,656,-117,65,405,152,25,8.169,721,,,,
01/01/2026,AR,janeiro de 2026,309,6.565,-84,927,3.821,2.661,617,62.936,7.492,,,,
01/01/2026,BR,janeiro de 2026,388,13.916,3.497,1.213,12.203,4.839,1.196,102.957,15.129,,,,
01/01/2026,CL,janeiro de 2026,3,257,178,0,347,71,14,2.193,257,,,,
01/01/2026,CO,janeiro de 2026,3,458,11,0,262,169,35,4.024,458,,,,
01/01/2026,MX,janeiro de 2026,39,821,104,62,620,262,66,8.241,883,,,,
01/02/2026,AR,fevereiro de 2026,150,5.355,-935,900,2.437,2.167,566,61.940,6.255,,,,
01/02/2026,BR,fevereiro de 2026,61,11.790,-2.037,1.248,6.467,3.544,929,100.876,13.038,,,,
01/02/2026,CL,fevereiro de 2026,3,233,104,0,261,59,14,2.297,233,,,,
01/02/2026,CO,fevereiro de 2026,4,369,152,0,362,123,32,4.174,369,,,,
01/02/2026,MX,fevereiro de 2026,31,589,24,58,424,161,55,8.260,647,,,,
01/03/2026,AR,março de 2026,485,6.407,1.411,888,5.078,2.398,745,63.272,7.295,,,,
01/03/2026,BR,março de 2026,655,14.499,-2.108,1.298,7.948,3.968,1.118,98.691,15.797,,,,
01/03/2026,CL,março de 2026,-2,337,50,0,289,76,24,2.348,337,,,,
01/03/2026,CO,março de 2026,-3,504,103,0,416,156,38,4.277,504,,,,
01/03/2026,MX,março de 2026,31,1.256,-366,76,624,252,59,7.891,1.332,,,,
01/04/2026,AR,abril de 2026,307,5.571,1.297,944,4.492,2.250,763,64.494,6.515,,,,
01/04/2026,BR,abril de 2026,377,11.362,-1.291,1.255,6.519,3.471,959,97.346,12.617,,,,
01/04/2026,CL,abril de 2026,2,290,146,0,328,84,22,2.494,290,,,,
01/04/2026,CO,abril de 2026,-4,449,74,0,326,164,37,4.350,449,,,,
01/04/2026,MX,abril de 2026,17,920,231,47,563,565,53,8.122,967,,,,